id,text,user_id,created_at
1053673102905933824,I liked a @YouTube video https://t.co/3wFkzhyeK6 EXCLUSIVE - Eminem Performs “Venom” from the Empire State Building! Presented by,154421664,2018-10-20 15:43:38
1053492743337472000,Susahh nya mencari teman nonton a star is born 😂 kenapa pada mau nonton venom sih huhh,197316911,2018-10-20 03:46:57
1053492287534071810,sebenernya venom itu alien apa cendol sik.. tapi lebih mirip cendol keknya.,275938605,2018-10-20 03:45:08
1053462820296114176,"@rlthingy Hereditary, searching, crazy rich asian, incridible 2, venom",2423855945,2018-10-20 01:48:03
1053318863541166080,"#latepost 

#venom #venommovie
#sukanonton #XXI #anakinskywalker #jajan #hobbynonton #jakarta #serang #cirebon @ We… https://t.co/ocahacZ9vI",404721447,2018-10-19 16:16:01
1053318613573099521,"#latepost 

#venom #venommovie
#sukanonton #XXI #anakinskywalker #jajan #hobbynonton #jakarta #serang #cirebon @ We… https://t.co/DeSi3ibk1M",404721447,2018-10-19 16:15:01
1053318305254002689,"#latepost 

#venom #venommovie
#sukanonton #XXI #anakinskywalker #jajan #hobbynonton #jakarta #serang #cirebon @ We… https://t.co/C9SsdhJjeW",404721447,2018-10-19 16:13:48
1053301608505724928,"Worst day ku dihibur dengan Venom, sungguh hiburan yg berbayar dan ga murah.",74104103,2018-10-19 15:07:27
1053296978694533120,pp- VENOM DARK GREY 100.000 bahan kaos baby unicon super halus premium quality Fit L. ld104cm pjg 70cm. logo kulit https://t.co/jyxiZsQQOR,1053282652088762368,2018-10-19 14:49:03
1053296380503040001,@poesiebrisee @fluffffie Sama ih aku jg mau nonton 2 itu..venom jg belum nonton aku tuh 😭,941846925094957056,2018-10-19 14:46:41
1053290547408846848,Belalang ketempelan venom.. https://t.co/3JaUrC66No,736426561,2018-10-19 14:23:30
1053281491390619648,@LeeYoeli Itu film venom mak... bukan Terminator...😂😂,984738183886729221,2018-10-19 13:47:31
1053270057868943361,"Film venom, bilangnya di malaysia tapi setir di kiri 🤣",54549886,2018-10-19 13:02:05
1053269014649028608,"Akhirny minggu ini nonton #Venom . Agak skeptis sih, krn byk yg bilang jelek, tp tnyata filmnya seru kok! And fun l… https://t.co/3Sunwg5vgS",53347713,2018-10-19 12:57:56
1053254379355090945,@HaniiNR Bau2nya lucu nih venom wgwgwg,1038300292691845123,2018-10-19 11:59:47
1053241486479785986,"@cinema21 @cinema21
Pernah kemarin pas nonton perdana VENOM
sebelah cewek dri awal mulai film nelpon mulu
Bikin dar… https://t.co/qIlN1SgbmM",974502898599043072,2018-10-19 11:08:33
1053239785542770688,and everytime venom act like he was a superhero https://t.co/2dsKRVCLtv,465449127,2018-10-19 11:01:47
1053239520605261824,everytime eddie arguing with venom https://t.co/e4msVKvjc6,465449127,2018-10-19 11:00:44
1053239355924393984,my reaction everytime venom tryin to talk to eddie https://t.co/bEfbugYGuD,465449127,2018-10-19 11:00:05
1053224903216787456,"Edisi abis nonton Venom:
it is really good to be movie reviewer and a popcorn movie addicted at the same time.

😎:… https://t.co/7kIBkRh7Pp",465449127,2018-10-19 10:02:39
1053220981580288001,"Demi cewek mah, padahal udh nonton venom, tapi hayulah nonton deui 😁😁",89921335,2018-10-19 09:47:04
1053211051448094720,"rangorang udah nonton venom
saya nonton imdb rating 3.1 https://t.co/o7jab6hQ6o",40432613,2018-10-19 09:07:37
1053155987144626176,Gegara cabut pesiar Venom pun hangusssss,263039710,2018-10-19 05:28:48
1053155907100598272,Eminem - Venom https://t.co/cuinFFsQkY via @YouTube,79480776,2018-10-19 05:28:29
